MonthStart DepartmentID ExpenseCategoryID Amount
---------- ------------ ----------------- ---------------------------------------
2025-01-01 D01          A01               8000000.00
2025-01-01 D01          A02               8000000.00
2025-01-01 D01          A03               8000000.00
2025-01-01 D01          A04               8000000.00
2025-01-01 D02          A01               30000000.00
2025-01-01 D02          A02               30000000.00
2025-01-01 D02          A03               30000000.00
2025-01-01 D02          A04               30000000.00
2025-01-01 D03          A01               20000000.00
2025-01-01 D03          A02               20000000.00
2025-01-01 D03          A03               20000000.00
2025-01-01 D03          A04               20000000.00
2025-01-01 D04          A01               8000000.00
2025-01-01 D04          A02               8000000.00
2025-01-01 D04          A03               8000000.00
2025-01-01 D04          A04               8000000.00
2025-01-01 D05          A01               12000000.00
2025-01-01 D05          A02               12000000.00
2025-01-01 D05          A03               12000000.00
2025-01-01 D05          A04               12000000.00
2025-01-01 D06          A01               10000000.00
2025-01-01 D06          A02               10000000.00
2025-01-01 D06          A03               10000000.00
2025-01-01 D06          A04               10000000.00
2025-01-01 D07          A01               3000000.00
2025-01-01 D07          A02               3000000.00
2025-01-01 D07          A03               3000000.00
2025-01-01 D07          A04               3000000.00
2025-01-01 D08          A01               8000000.00
2025-01-01 D08          A02               8000000.00
2025-01-01 D08          A03               8000000.00
2025-01-01 D08          A04               8000000.00
2025-02-01 D01          A01               8000000.00
2025-02-01 D01          A02               8000000.00
2025-02-01 D01          A03               8000000.00
2025-02-01 D01          A04               8000000.00
2025-02-01 D02          A01               30000000.00
2025-02-01 D02          A02               30000000.00
2025-02-01 D02          A03               30000000.00
2025-02-01 D02          A04               30000000.00
2025-02-01 D03          A01               20000000.00
2025-02-01 D03          A02               20000000.00
2025-02-01 D03          A03               20000000.00
2025-02-01 D03          A04               20000000.00
2025-02-01 D04          A01               8000000.00
2025-02-01 D04          A02               8000000.00
2025-02-01 D04          A03               8000000.00
2025-02-01 D04          A04               8000000.00
2025-02-01 D05          A01               12000000.00
2025-02-01 D05          A02               12000000.00
2025-02-01 D05          A03               12000000.00
2025-02-01 D05          A04               12000000.00
2025-02-01 D06          A01               10000000.00
2025-02-01 D06          A02               10000000.00
2025-02-01 D06          A03               10000000.00
2025-02-01 D06          A04               10000000.00
2025-02-01 D07          A01               3000000.00
2025-02-01 D07          A02               3000000.00
2025-02-01 D07          A03               3000000.00
2025-02-01 D07          A04               3000000.00
2025-02-01 D08          A01               8000000.00
2025-02-01 D08          A02               8000000.00
2025-02-01 D08          A03               8000000.00
2025-02-01 D08          A04               8000000.00
2025-03-01 D01          A01               8000000.00
2025-03-01 D01          A02               8000000.00
2025-03-01 D01          A03               8000000.00
2025-03-01 D01          A04               8000000.00
2025-03-01 D02          A01               30000000.00
2025-03-01 D02          A02               30000000.00
2025-03-01 D02          A03               30000000.00
2025-03-01 D02          A04               30000000.00
2025-03-01 D03          A01               20000000.00
2025-03-01 D03          A02               20000000.00
2025-03-01 D03          A03               20000000.00
2025-03-01 D03          A04               20000000.00
2025-03-01 D04          A01               8000000.00
2025-03-01 D04          A02               8000000.00
2025-03-01 D04          A03               8000000.00
2025-03-01 D04          A04               8000000.00
2025-03-01 D05          A01               12000000.00
2025-03-01 D05          A02               12000000.00
2025-03-01 D05          A03               12000000.00
2025-03-01 D05          A04               12000000.00
2025-03-01 D06          A01               10000000.00
2025-03-01 D06          A02               10000000.00
2025-03-01 D06          A03               10000000.00
2025-03-01 D06          A04               10000000.00
2025-03-01 D07          A01               3000000.00
