MonthStart DepartmentID Headcount                               AverageMonthlySalary
---------- ------------ --------------------------------------- ---------------------------------------
2025-01-01 D01          700.00                                  70000.00
2025-01-01 D02          450.00                                  75000.00
2025-01-01 D03          1100.00                                 95000.00
2025-01-01 D04          400.00                                  85000.00
2025-01-01 D05          350.00                                  90000.00
2025-01-01 D06          700.00                                  65000.00
2025-01-01 D07          150.00                                  70000.00
2025-01-01 D08          200.00                                  55000.00
2025-02-01 D01          700.00                                  70000.00
2025-02-01 D02          450.00                                  75000.00
2025-02-01 D03          1100.00                                 95000.00
2025-02-01 D04          400.00                                  85000.00
2025-02-01 D05          350.00                                  90000.00
2025-02-01 D06          700.00                                  65000.00
2025-02-01 D07          150.00                                  70000.00
2025-02-01 D08          200.00                                  55000.00
2025-03-01 D01          700.00                                  70000.00
2025-03-01 D02          450.00                                  75000.00
2025-03-01 D03          1100.00                                 95000.00
2025-03-01 D04          400.00                                  85000.00
2025-03-01 D05          350.00                                  90000.00
2025-03-01 D06          700.00                                  65000.00
2025-03-01 D07          150.00                                  70000.00
2025-03-01 D08          200.00                                  55000.00
2025-04-01 D01          700.00                                  70000.00
2025-04-01 D02          450.00                                  75000.00
2025-04-01 D03          1100.00                                 95000.00
2025-04-01 D04          400.00                                  85000.00
2025-04-01 D05          350.00                                  90000.00
2025-04-01 D06          700.00                                  65000.00
2025-04-01 D07          150.00                                  70000.00
2025-04-01 D08          200.00                                  55000.00
2025-05-01 D01          700.00                                  70000.00
2025-05-01 D02          450.00                                  75000.00
2025-05-01 D03          1100.00                                 95000.00
2025-05-01 D04          400.00                                  85000.00
2025-05-01 D05          350.00                                  90000.00
2025-05-01 D06          700.00                                  65000.00
2025-05-01 D07          150.00                                  70000.00
2025-05-01 D08          200.00                                  55000.00
2025-06-01 D01          700.00                                  70000.00
2025-06-01 D02          450.00                                  75000.00
2025-06-01 D03          1100.00                                 95000.00
2025-06-01 D04          400.00                                  85000.00
2025-06-01 D05          350.00                                  90000.00
2025-06-01 D06          700.00                                  65000.00
2025-06-01 D07          150.00                                  70000.00
2025-06-01 D08          200.00                                  55000.00
2025-07-01 D01          700.00                                  70000.00
2025-07-01 D02          450.00                                  75000.00
2025-07-01 D03          1100.00                                 95000.00
2025-07-01 D04          400.00                                  85000.00
2025-07-01 D05          350.00                                  90000.00
2025-07-01 D06          700.00                                  65000.00
2025-07-01 D07          150.00                                  70000.00
2025-07-01 D08          200.00                                  55000.00
2025-08-01 D01          700.00                                  70000.00
2025-08-01 D02          450.00                                  75000.00
2025-08-01 D03          1100.00                                 95000.00
2025-08-01 D04          400.00                                  85000.00
2025-08-01 D05          350.00                                  90000.00
2025-08-01 D06          700.00                                  65000.00
2025-08-01 D07          150.00                                  70000.00
2025-08-01 D08          200.00                                  55000.00
2025-09-01 D01          700.00                                  70000.00
2025-09-01 D02          450.00                                  75000.00
2025-09-01 D03          1100.00                                 95000.00
2025-09-01 D04          400.00                                  85000.00
2025-09-01 D05          350.00                                  90000.00
2025-09-01 D06          700.00                                  65000.00
2025-09-01 D07          150.00                                  70000.00
2025-09-01 D08          200.00                                  55000.00
2025-10-01 D01          700.00                                  70000.00
2025-10-01 D02          450.00                                  75000.00
2025-10-01 D03          1100.00                                 95000.00
2025-10-01 D04          400.00                                  85000.00
2025-10-01 D05          350.00                                  90000.00
2025-10-01 D06          700.00                                  65000.00
2025-10-01 D07          150.00                                  70000.00
2025-10-01 D08          200.00                                  55000.00
2025-11-01 D01          700.00                                  70000.00
2025-11-01 D02          450.00                                  75000.00
2025-11-01 D03          1100.00                                 95000.00
2025-11-01 D04          400.00                                  85000.00
2025-11-01 D05          350.00                                  90000.00
2025-11-01 D06          700.00                                  65000.00
2025-11-01 D07          150.00                                  70000.00
2025-11-01 D08          200.00                                  55000.00
2025-12-01 D01          700.00                                  70000.00
2025-12-01 D02          450.00                                  75000.00
2025-12-01 D03          1100.00                                 95000.00
2025-12-01 D04          400.00                                  85000.00
2025-12-01 D05          350.00                                  90000.00
2025-12-01 D06          700.00                                  65000.00
2025-12-01 D07          150.00                                  70000.00
2025-12-01 D08          200.00                                  55000.00
2026-01-01 D01          700.00                                  70000.00
